8b18ff6e:00000000:000000000000260D     JawMicroHotspotControl
8b18ff6e:00000000:0000000000005CB7     LowerArmHotspotControl
8b18ff6e:00000000:000000000000469A     LowerBodyHotspotControl
8b18ff6e:00000000:0000000000005CB8     LowerLegHotspotControl
8b18ff6e:00000000:000000000000260B     LowerLipHotspotControl
8b18ff6e:00000000:000000000000E337     MouthCornerHotspotControl
8b18ff6e:00000000:000000000000270C     MouthCurveHotspotControl
8b18ff6e:00000000:0000000000002035     MouthHotspotControl
8b18ff6e:00000000:0000000000002622     NasionHotspotControl
8b18ff6e:00000000:0000000000005CB5     NeckHotspotControl
8b18ff6e:00000000:00000000000024EF     NoseBridgeMacroHotspotControl
8b18ff6e:00000000:000000000000207D     NoseHotspotControl
8b18ff6e:00000000:000000000000207E     NoseScaleHotspotControl
8b18ff6e:00000000:0000000000002626     NoseTipHotspotControl
8b18ff6e:00000000:00000000000021D6     NoseWidthRotateHotspotControl
8b18ff6e:00000000:00000000000082BA     NostrilHoleMicroHotspotControl
8b18ff6e:00000000:0000000000002613     NostrilMicroHotspotControl
8b18ff6e:00000000:0000000000005CFD     ShouldersHotspotControl
8b18ff6e:00000000:000000000000AE91     SkullHotspotControl
8b18ff6e:00000000:00000000000043CB     ThighHotspotControl
8b18ff6e:00000000:0000000000005CB6     UpperArmHotspotControl
8b18ff6e:00000000:0000000000004699     UpperBodyHotspotControl
8b18ff6e:00000000:000000000000260A     UpperLipHotspotControl
8b18ff6e:00000000:00000000000023EA     WaistHotspotControl
8b18ff6e:00000000:00000000000067D7     ymBackHotspotControl
8b18ff6e:00000000:000000000000274D     ymBellyHotspotControl
8b18ff6e:00000000:000000000000274C     ymBodyHotspotControl
8b18ff6e:00000000:0000000000006661     ymBrowMicroHotspotControl
8b18ff6e:00000000:000000000000335A     ymBrowsMacroHotspotControl
8b18ff6e:00000000:0000000000003359     ymBrowsRotateMacroHotspotControl
8b18ff6e:00000000:000000000000E311     ymBrowsRotateOutsideMacroHotspotControl
8b18ff6e:00000000:000000000000274B     ymButtHotspotControl
8b18ff6e:00000000:000000000000274A     ymCheekBoneHotspotControl
8b18ff6e:00000000:0000000000006A2C     ymCheekBoneHotspotControl_Micro
8b18ff6e:00000000:0000000000002749     ymCheeksHotspotControl
8b18ff6e:00000000:0000000000006A2D     ymCheeksHotspotControl_Micro
8b18ff6e:00000000:0000000000002748     ymChestHotspotControl
8b18ff6e:00000000:0000000000002747     ymChinHotspotControl
8b18ff6e:00000000:000000000000275D     ymChinMicroHotspotControl
8b18ff6e:00000000:0000000000002746     ymEarsHotspotControl
8b18ff6e:00000000:0000000000006A2F     ymEarsHotspotControl_Micro
8b18ff6e:00000000:0000000000006657     ymEyesCaruncleHotspotControl
8b18ff6e:00000000:000000000000275B     ymEyesLidLowerHotspotControl
8b18ff6e:00000000:000000000000275A     ymEyesLidUpperHotspotControl
8b18ff6e:00000000:0000000000002759     ymEyesMicroHotspotControl
8b18ff6e:00000000:0000000000002745     ymEyeSocketHotspotControl
8b18ff6e:00000000:000000000000AF62     ymEyesRotateMacroHotspotControl
8b18ff6e:00000000:0000000000002758     ymEyesRotateScaleHotspotControl
8b18ff6e:00000000:000000000000277E     ymEyesRotateScaleMacroHotspotControl
8b18ff6e:00000000:0000000000005CD6     ymFeetHotspotControl
8b18ff6e:00000000:0000000000002744     ymForeheadHotspotControl
8b18ff6e:00000000:0000000000006A31     ymForeheadHotspotControl_Micro
8b18ff6e:00000000:0000000000002743     ymHeadHotspotControl
8b18ff6e:00000000:0000000000002742     ymHipsHotspotControl
8b18ff6e:00000000:0000000000002756     ymIrisMicroHotspotControl
8b18ff6e:00000000:0000000000002741     ymJawHotspotControl
8b18ff6e:00000000:0000000000002755     ymJawMicroHotspotControl
8b18ff6e:00000000:0000000000005CD7     ymLowerArmHotspotControl
8b18ff6e:00000000:0000000000005CD9     ymLowerLegHotspotControl
8b18ff6e:00000000:0000000000002754     ymLowerLipHotspotControl
8b18ff6e:00000000:000000000000E338     ymMouthCornerHotspotControl
8b18ff6e:00000000:0000000000002753     ymMouthCurveHotspotControl
8b18ff6e:00000000:0000000000002740     ymMouthHotspotControl
8b18ff6e:00000000:0000000000002752     ymNasionHotspotControl
8b18ff6e:00000000:0000000000005CDA     ymNeckHotspotControl
8b18ff6e:00000000:000000000000273F     ymNoseBridgeMacroHotspotControl
8b18ff6e:00000000:000000000000273E     ymNoseHotspotControl
8b18ff6e:00000000:000000000000273D     ymNoseScaleHotspotControl
8b18ff6e:00000000:0000000000002751     ymNoseTipHotspotControl
8b18ff6e:00000000:0000000000002750     ymNoseWidthRotateHotspotControl
8b18ff6e:00000000:00000000000082DC     ymNostrilHoleMicroHotspotControl
8b18ff6e:00000000:000000000000274F     ymNostrilMicroHotspotControl
8b18ff6e:00000000:0000000000005CDC     ymShouldersHotspotControl
8b18ff6e:00000000:000000000000AEEF     ymSkullHotspotControl
8b18ff6e:00000000:0000000000004470     ymThighHotspotControl
8b18ff6e:00000000:0000000000005CDB     ymUpperArmHotspotControl
8b18ff6e:00000000:000000000000274E     ymUpperLipHotspotControl
8b18ff6e:00000000:000000000000273A     ymWaistHotspotControl
